,škola,třída,datum narození,datum testu,gender,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,subtest 1,subtest 2,subtest 3,subtest 4,subtest 5,subtest 6,subtest 7,subtest 8,test 1,test 2,test 3,test 4, TMC
425,E,3.A,2012-09-06,2022-05-11,M,,,,,,,,,,,,,,,,,13.0,6.0,22.0,5.0,4.0,5.0,5.0,5.0,0.0,10.0,0.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,0.0,7.8,14.0,53.0,37.0,41.0,5.0,5.0,4.0,5.0,10.0,10.0,5.0,140.0,16.0,22.0,60.0,60.0,,,,,,,,,,,,,
487,E,1.B - asi,,,F,3.0,3.0,0.0,0.0,11.0,11.0,12.0,3.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,28.0,16.0,8.0,16.0,7.0,4.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,0.0,10.0,10.0,0.0,10.5,13.0,37.0,24.0,34.0,4.0,4.0,3.0,3.0,6.0,4.0,0.0,100.0,10.0,16.0,36.0,60.0,,,,,,,,,,,,,
526,E,2.B,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,E,2.B,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,E,2.B,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,E,2.A,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,E,2.A,,,M,3.0,3.0,1.0,0.0,12.0,12.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,0.0,28.0,16.0,8.0,21.0,7.0,4.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,0.0,8.24,22.0,55.0,30.0,36.0,5.0,4.0,2.0,5.0,10.0,10.0,1.0,140.0,7.0,12.0,50.0,33.0,,,,,,,,,,,,,
531,E,2.A,,,M,3.0,3.0,0.0,0.0,10.0,0.0,10.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,2.0,17.0,14.0,7.0,13.0,6.0,4.0,5.0,5.0,5.0,5.0,10.0,3.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,0.0,8.9,16.0,42.0,23.0,30.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,130.0,6.0,0.0,60.0,20.0,,,,,,,,,,,,,
532,E,2.A,,,M,3.0,3.0,1.0,6.0,12.0,0.0,7.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,0.0,31.0,15.0,6.0,15.0,5.0,4.0,5.0,5.0,5.0,1.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,0.0,8.65,13.0,42.0,17.0,24.0,5.0,4.0,5.0,4.0,10.0,10.0,4.0,130.0,25.0,12.0,60.0,45.0,,,,,,,,,,,,,
533,E,2.A,,,M,2.0,2.0,3.0,2.0,12.0,11.0,12.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,33.0,10.0,9.0,15.0,3.0,4.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,0.0,9.36,15.0,42.0,18.0,25.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,100.0,7.0,14.0,42.0,20.0,,,,,,,,,,,,,
534,E,2.A,,,M,2.0,2.0,1.0,4.0,11.0,11.0,9.0,3.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,29.0,13.0,7.0,18.0,7.0,4.0,5.0,5.0,5.0,5.0,10.0,4.0,10.0,6.0,10.0,10.0,6.0,0.0,10.0,10.0,0.0,8.7,19.0,40.0,29.0,33.0,4.0,5.0,5.0,4.0,10.0,6.0,4.0,140.0,6.0,11.0,60.0,60.0,,,,,,,,,,,,,
535,E,2.A,,,F,3.0,2.0,0.0,0.0,12.0,12.0,12.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,26.0,14.0,7.0,16.0,6.0,4.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,0.0,8.72,22.0,47.0,34.0,36.0,5.0,4.0,4.0,3.0,10.0,10.0,4.0,110.0,20.0,14.0,60.0,60.0,,,,,,,,,,,,,
536,E,2.A,,,M,2.0,2.0,2.0,1.0,10.0,10.0,12.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,23.0,13.0,7.0,18.0,8.0,4.0,4.0,5.0,5.0,5.0,10.0,3.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,0.0,8.16,20.0,48.0,25.0,32.0,4.0,4.0,1.0,3.0,4.0,4.0,2.0,140.0,4.0,9.0,60.0,60.0,,,,,,,,,,,,,
537,E,2.A,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,E,2.A,,,F,3.0,2.0,0.0,4.0,11.0,12.0,12.0,3.0,4.0,5.0,3.0,5.0,5.0,3.0,4.0,24.0,11.0,9.0,18.0,6.0,4.0,3.0,5.0,0.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,0.0,9.02,14.0,42.0,19.0,24.0,5.0,4.0,5.0,5.0,6.0,4.0,4.0,110.0,0.0,10.0,60.0,60.0,,,,,,,,,,,,,
539,E,2.A,,,M,3.0,3.0,6.0,11.0,8.0,2.0,10.0,3.0,5.0,5.0,4.0,4.0,5.0,3.0,5.0,76.0,13.0,9.0,19.0,3.0,4.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,0.0,9.34,22.0,45.0,34.0,26.0,4.0,5.0,2.0,3.0,6.0,10.0,1.0,140.0,6.0,12.0,60.0,60.0,,,,,,,,,,,,,
540,E,2.A,,,F,3.0,3.0,0.0,3.0,9.0,9.0,12.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,36.0,13.0,10.0,18.0,7.0,4.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,0.0,9.45,18.0,38.0,36.0,27.0,5.0,4.0,0.0,4.0,3.0,4.0,1.0,100.0,4.0,7.0,40.0,60.0,,,,,,,,,,,,,
541,E,2.A,,,F,2.0,3.0,0.0,0.0,12.0,12.0,12.0,3.0,5.0,6.0,4.0,5.0,5.0,4.0,6.0,39.0,16.0,9.0,20.0,7.0,4.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,10.0,8.26,19.0,42.0,34.0,32.0,4.0,1.0,3.0,2.0,7.0,3.0,1.0,130.0,0.0,7.0,60.0,60.0,,,,,,,,,,,,,
542,E,2.A,,,M,3.0,2.0,1.0,3.0,12.0,4.0,9.0,4.0,5.0,5.0,3.0,4.0,4.0,2.0,3.0,49.0,11.0,6.0,16.0,6.0,4.0,5.0,5.0,0.0,1.0,10.0,0.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,0.0,9.17,17.0,43.0,26.0,28.0,4.0,5.0,4.0,4.0,3.0,3.0,5.0,100.0,2.0,7.0,60.0,25.0,,,,,,,,,,,,,
543,E,2.A,,,M,3.0,3.0,0.0,4.0,10.0,8.0,12.0,4.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,20.0,12.0,8.0,17.0,6.0,4.0,5.0,5.0,1.0,1.0,10.0,10.0,10.0,6.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,8.48,20.0,46.0,20.0,31.0,5.0,5.0,1.0,3.0,10.0,3.0,3.0,120.0,8.0,0.0,60.0,60.0,,,,,,,,,,,,,
544,E,2.A,,,M,2.0,1.0,1.0,12.0,11.0,5.0,12.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,0.0,35.0,12.0,9.0,21.0,4.0,4.0,2.0,5.0,4.0,5.0,10.0,4.0,10.0,6.0,10.0,10.0,6.0,0.0,0.0,0.0,0.0,8.35,22.0,64.0,29.0,27.0,3.0,4.0,4.0,3.0,10.0,3.0,1.0,110.0,3.0,12.0,30.0,60.0,,,,,,,,,,,,,
545,E,2.A,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,E,2.A,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,E,2.A,,,M,2.0,3.0,0.0,9.0,12.0,11.0,12.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,38.0,14.0,7.0,19.0,5.0,4.0,5.0,5.0,0.0,5.0,10.0,1.0,10.0,6.0,10.0,10.0,6.0,0.0,10.0,10.0,0.0,8.71,20.0,48.0,27.0,36.0,4.0,5.0,4.0,3.0,2.0,6.0,0.0,100.0,0.0,0.0,60.0,25.0,,,,,,,,,,,,,
548,E,2.A,,,M,3.0,3.0,0.0,3.0,10.0,6.0,12.0,4.0,5.0,6.0,4.0,5.0,5.0,5.0,6.0,18.0,13.0,8.0,15.0,5.0,4.0,5.0,5.0,0.0,5.0,10.0,6.0,10.0,6.0,10.0,10.0,6.0,0.0,0.0,10.0,0.0,9.17,18.0,39.0,16.0,21.0,5.0,5.0,4.0,1.0,10.0,10.0,5.0,120.0,3.0,5.0,40.0,25.0,,,,,,,,,,,,,
549,E,2.A,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,E,2.A,,,F,3.0,3.0,0.0,3.0,12.0,12.0,12.0,4.0,5.0,6.0,4.0,5.0,5.0,4.0,5.0,40.0,16.0,9.0,17.0,8.0,4.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,0.0,9.2,25.0,48.0,38.0,40.0,4.0,5.0,3.0,3.0,3.0,3.0,2.0,140.0,11.0,13.0,60.0,60.0,,,,,,,,,,,,,
551,E,2.A,,,M,3.0,3.0,0.0,0.0,12.0,9.0,11.0,4.0,5.0,6.0,4.0,5.0,3.0,4.0,3.0,28.0,15.0,8.0,13.0,8.0,4.0,5.0,5.0,5.0,4.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,0.0,10.0,10.0,10.0,8.05,18.0,56.0,25.0,40.0,4.0,4.0,5.0,5.0,7.0,3.0,3.0,140.0,12.0,10.0,40.0,30.0,,,,,,,,,,,,,
552,E,2.A,,,F,3.0,3.0,1.0,1.0,11.0,12.0,12.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,9.0,15.0,9.0,18.0,7.0,4.0,5.0,5.0,0.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,10.0,8.74,17.0,44.0,24.0,30.0,3.0,5.0,2.0,0.0,9.0,8.0,2.0,130.0,0.0,6.0,60.0,60.0,,,,,,,,,,,,,
