,škola,třída,datum narození,datum testu,gender,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,subtest 1,subtest 2,subtest 3,subtest 4,subtest 5,subtest 6,subtest 7,subtest 8,test 1,test 2,test 3,test 4, TMC
405,E,2.C,2013-03-07,2022-05-18,F,3.0,3.0,0.0,6.0,11.0,12.0,12.0,4.0,5.0,4.0,3.0,5.0,4.0,3.0,4.0,27.0,15.0,9.0,20.0,7.0,4.0,0.0,0.0,0.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,16.0,13.0,0.0,0.0,4.0,1.0,0.0,3.0,3.0,0.0,2.0,50.0,0.0,0.0,20.0,0.0,9.0,7.0,18.0,3.0,1.0,1.0,1.0,1.0,34.0,37.0,23.0,0.0,0.0
419,E,2.C,2012-08-01,2022-05-18,M,3.0,2.0,1.0,3.0,11.0,0.0,12.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,3.0,9.0,12.0,7.0,15.0,6.0,4.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,0.0,0.0,10.0,0.0,9.26,21.0,46.0,26.0,35.0,5.0,1.0,3.0,1.0,10.0,6.0,2.0,130.0,6.0,13.0,25.0,30.0,2.0,5.0,5.0,20.0,1.0,15.0,4.0,11.0,20.0,20.0,39.0,46.0,0.0
426,E,3.A,2011-12-06,2022-05-11,M,2.0,2.0,1.0,2.0,11.0,10.0,12.0,3.0,4.0,5.0,3.0,5.0,4.0,5.0,4.0,33.0,13.0,8.0,17.0,6.0,4.0,3.0,5.0,5.0,1.0,10.0,0.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,0.0,10.7,10.0,49.0,10.0,29.0,4.0,5.0,4.0,4.0,10.0,10.0,1.0,100.0,10.0,15.0,35.0,60.0,6.0,9.0,17.0,8.0,12.0,8.0,12.0,11.0,26.0,47.0,38.0,34.0,0.0
427,E,3.A,2013-02-01,2022-05-11,F,3.0,3.0,0.0,0.0,12.0,12.0,12.0,3.0,5.0,5.0,2.0,5.0,4.0,3.0,4.0,43.0,15.0,8.0,21.0,7.0,4.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,10.0,7.8,23.0,43.0,35.0,44.0,5.0,5.0,5.0,5.0,10.0,10.0,3.0,150.0,25.0,22.0,60.0,60.0,22.0,6.0,22.0,20.0,23.0,21.0,21.0,22.0,47.0,67.0,67.0,63.0,0.0
428,E,3.A,2012-12-04,2022-05-11,F,3.0,3.0,0.0,0.0,11.0,12.0,12.0,3.0,5.0,4.0,2.0,4.0,4.0,3.0,3.0,38.0,14.0,10.0,18.0,7.0,4.0,5.0,5.0,5.0,5.0,10.0,4.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,0.0,8.33,17.0,37.0,35.0,34.0,5.0,5.0,4.0,4.0,10.0,10.0,4.0,130.0,25.0,19.0,60.0,60.0,18.0,3.0,19.0,13.0,11.0,16.0,18.0,19.0,39.0,59.0,43.0,55.0,0.0
429,E,3.A,2013-02-18,2022-05-11,F,3.0,3.0,0.0,4.0,11.0,12.0,12.0,3.0,5.0,5.0,3.0,4.0,4.0,4.0,0.0,0.0,14.0,10.0,17.0,7.0,4.0,5.0,5.0,5.0,5.0,10.0,6.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,0.0,9.4,16.0,40.0,24.0,29.0,5.0,5.0,4.0,2.0,10.0,10.0,0.0,120.0,15.0,16.0,60.0,60.0,11.0,3.0,11.0,16.0,12.0,12.0,15.0,17.0,31.0,46.0,47.0,50.0,0.0
430,E,3.A,2013-02-12,2022-05-11,M,3.0,3.0,0.0,0.0,12.0,12.0,12.0,3.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,11.0,13.0,7.0,17.0,7.0,4.0,5.0,5.0,5.0,5.0,10.0,7.0,10.0,6.0,10.0,10.0,6.0,0.0,10.0,10.0,0.0,8.7,17.0,42.0,23.0,35.0,5.0,5.0,4.0,5.0,10.0,8.0,1.0,120.0,28.0,22.0,60.0,60.0,22.0,11.0,12.0,17.0,6.0,15.0,14.0,20.0,55.0,43.0,42.0,56.0,0.0
431,E,3.A,2013-03-08,2022-05-11,M,3.0,2.0,0.0,2.0,11.0,11.0,12.0,2.0,5.0,3.0,3.0,5.0,5.0,3.0,2.0,35.0,12.0,9.0,18.0,6.0,4.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,0.0,10.0,0.0,0.0,9.9,14.0,36.0,18.0,22.0,5.0,3.0,5.0,4.0,10.0,5.0,2.0,110.0,20.0,19.0,60.0,60.0,12.0,5.0,18.0,21.0,1.0,9.0,11.0,17.0,30.0,47.0,40.0,46.0,0.0
432,E,3.A,2012-08-23,2022-05-11,M,2.0,2.0,0.0,0.0,12.0,12.0,12.0,3.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,28.0,14.0,9.0,15.0,7.0,4.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,0.0,10.0,0.0,0.0,8.7,17.0,41.0,33.0,25.0,4.0,5.0,3.0,4.0,5.0,5.0,1.0,130.0,23.0,18.0,40.0,0.0,16.0,8.0,17.0,20.0,1.0,15.0,5.0,11.0,41.0,38.0,39.0,46.0,0.0
433,E,3.A,2012-07-19,2022-05-11,F,3.0,3.0,0.0,1.0,12.0,12.0,12.0,3.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,1.0,11.0,12.0,16.0,7.0,4.0,5.0,5.0,5.0,5.0,10.0,4.0,10.0,6.0,10.0,10.0,6.0,0.0,10.0,10.0,0.0,8.5,16.0,35.0,21.0,29.0,3.0,5.0,3.0,5.0,4.0,3.0,2.0,120.0,16.0,17.0,60.0,60.0,18.0,10.0,8.0,13.0,5.0,11.0,8.0,17.0,47.0,34.0,37.0,49.0,0.0
